"title","abstract","typeS","session_id","session_type_id","year"
"The Substantive Validity of Self-Report Emotional Intelligence Measures","As an examination of the construct validity of emotional intelligence, the substantive validity of 13 self-report EI measures was estimated by asking participants to rate the extent to which the items captured the intended construct. Only 3 of the 13 measures demonstrated substantive validity for a majority of items.","Poster",2018,22,2013
"I-O's Role in Patching the Leaky Pipeline for S&E Women","Increasing the representation of women in science and engineering (S&E) fields is a national economic concern. I-O psychology is poised to contribute to this multidisciplinary effort. This panel brings together expertise from diversity researchers and practitioners to discuss best practices, research findings, and grant experiences.","Panel Discussion",2019,6,2013
"Theme Track: The Intersection of Research/Practice: Effectively Using Partnerships so Research Sticks","Successful science-practice integration stems from the ability for academics and practitioners to effectively communicate and provide mutually beneficial information. The goal of this session is to bring together panelists who have prior experience successfully leveraging academic-practitioner relationships, focusing on those that have culminated in sticky interventions, programs, and systems.","Special Events",2020,1,2013
"Boutiques to Big Boxes: How I-O Consulting Jobs Are Evolving","Panelists with consulting experience at both small and large firms discuss how industry consolidation is changing the nature of consulting, including competencies, job duties, career opportunities, globalization, professional relationships, interdisciplinary interactions, and future evolution. Panelists prepared responses to multiple questions, which the audience will select to customize the session's topics.","Panel Discussion",2021,6,2013
"Distinguished Teaching Contributions Award: Teaching Like it Matters: Applying Newcomer Socialization and Justice Research","Teaching matters. Research matters. Rather than taking the view that teaching and research are mutually exclusive or come at the expense of one another for professors, this talk will focus on the application of both newcomer socialization theory and organizational justice theory within the classroom learning environment for mutual benefit. ","Special Events",2022,1,2013
"Analytics Unchained: Fortune 500 Recruiting and Selection Insights and Improvements","HR professionals can use analytics to detect problems earlier, spot opportunities more quickly, and better plan to meet business requirements via improved recruiting and selection systems. The purpose of this panel is to share applied challenges and lessons learned so attendees can learn and apply best practices involving HR analytics.","Panel Discussion",2023,6,2013
"LGBT Workplace Legal Environment: Considerations for Employee and Employer","LGBT employees experience discrimination based on invisible stigmas (Ragins, Singh, & Cornwell, 2007). Although workplaces are making progress toward recognizing employee sexual diversity (Button, 2001), little federal protection exists. Don't Ask Don't Tell (DADT), Title VII's application to transgender employees, and Defense of Marriage Act (DOMA) litigation are discussed.

","Roundtable Discussion/Conversation Hour",2024,7,2013
"Employee Reactions to Unethical Customers: The Role of Ethical Leadership","Drawing on the deontic model of justice and conservation of resources theory, this study proposes a moderated-mediation model whereby ethical leadership mitigates the indirect relationship between customer unethical behavior and employee outcomes (organizational commitment, job satisfaction, relationship and task conflict) as mediated by employee emotional exhaustion.  Implications are discussed.","Poster",2025,22,2013
"Case-Based Ethics Instruction: Alternative Outcome Scenarios and Structured Outcome Evaluation","Case-based instruction is regarded as a viable alternative to traditional lecture-based education and training. However, little is known about how training techniques impact training effectiveness. This study examined the effects of 2 techniques: (a) presentation of alternative outcome scenarios and (b) conducting a structured outcome evaluation on learning and transfer.","Poster",2026,22,2013
"Influence of Competitive Climate and Moral Disengagement on Ethical Decision Making","Competition has long been regarded as a viable approach to increase employee performance. However, little is known about the impact of competitive climate on employee ethical decision making. This study examined the potential effects of competitive climate on ethical decision making and the indirect effects of moral disengagement on this relationship. ","Poster",2027,22,2013
"A Digital Work Simulation for Workplace Deviance","The aim of this study was to examine the validity of a digital work simulation predicting workplace deviance by assessing Machiavellianism and compliant unethical behavior.  The criterion-related validity and the incremental validity of the digital work simulation were studied among 285 participants. Results supported the validity of the simulation.","Poster",2028,22,2013
"Somebody's Watching You: Observer Reactions to Deviant Work Behaviors","This study examined observer reactions to deviant work behaviors (DWB). The target and severity of behaviors are predicted to affect observer responses. When DWB was severe or interpersonally directed, participants generally preferred reporting, confronting, or aiding. However, when DWB was minor or organizationally directed, observers preferred ignoring or imitating the behaviors.","Poster",2029,22,2013
"Psychological Contracts and Ethical Leadership in the Workplace","This online survey of 159 employees and 96 peers investigated relationships among psychological contracts, ethical leadership, organizational commitment, and organizational citizenship behavior (OCB). Transactional contracts were negatively correlated to affective and normative commitment, as well as OCB. Ethical leadership moderated the relationships between transactional contracts and organizational commitment.  ","Poster",2030,22,2013
"Team-Level Ethical Decision Making: A Model Proposal","Past research has focused on how individuals make ethical decisions.  However, there has been no consideration of how teams make ethical decisions.  The following paper reviews individual decision-making models and presents a team model of ethical decision making that considers individual factors, in-group status, ethical climate, and ethical leadership.","Poster",2031,22,2013
"Hostile Climates, Abusive Supervision, and the Moderating Role of Conscientiousness","This study proposes that hostile organizational climates promote organizational deviance and psychological withdrawal among employees by encouraging abusive supervision. Among a sample of employees and immediate supervisors, results provide support for the hypothesized relationships. In addition, Conscientiousness was found to mitigate negative behavioral reactions but not psychological reactions. ","Poster",2032,22,2013
"The Effect of Coworker and Customer Incivility on Organizational Outcomes","The authors hypothesized that employees who experienced high levels of incivility would report reductions in job satisfaction and organization-based self-esteem (OBSE). Moreover, it was expected that negative affectivity would interact with incivility to predict reduced job satisfaction, and self-efficacy would interact with incivility to predict reduced OBSE. ","Poster",2033,22,2013
"Unethical Pro-Organizational Behavior: Antecedents and Boundary Conditions","This multisource survey investigated several antecedents of the newly introduced concept of unethical pro-organizational behaviors. Supervisor rated i-deals were related to UPB, whereas self-rated i-deals and leader-member exchange were not. Supervisor's embodiment of the organization was examined as a moderator. Implications for theory and research are discussed.","Poster",2034,22,2013
"To Catch a Time Thief: Profiling Time Bandit Types","An employee is engaged in time banditry when he or she pursues nontask related activities during work time. Two studies were conducted to explore variables that can be used to classify time bandits. Results revealed that both situational and dispositional variables can be used to predict time-bandit type. ","Poster",2035,22,2013
"Managers Behaving Badly: Not Smart, Disengaged, and Deviant","This study investigates whether intelligence and work engagement interact to influence supervisor ratings of workplace deviance. Based on a sample of managers, using a time-lagged design, it was found that work engagement moderates the effects of intelligence such that workplace deviance is greatest when intelligence and work engagement are low. ","Poster",2036,22,2013
"You Compete Me: Competition and Cooperation Goals Predict Workplace Ostracism","Drawing on the theory of cooperation and competition, this study found cooperative goals reduced, while competitive goals facilitated, workplace ostracism. Social skill was found to be negatively related to ostracism as well as strengthening the negative impact of cooperative goals and neutralizing the positive impact of competitive goals on ostracism. ","Poster",2037,22,2013
"Perception of and Attributions about Incivility: The Effects of Gender","Few studies have explored the process of perception of incivility and the factors that influence attributions about incivility.  This laboratory study uses a 2 (participant gender) x 2 (experimenter gender) x 2 (incivility) design to examine accuracy of detection of positive and negative social behaviors and attributions made about these behaviors.","Poster",2038,22,2013
"Vicarious Social Undermining: Workplace Aggression Harms Nontarget Employees Too ","Previous research has shown that social undermining has clear negative effects on the target. This study investigates whether employees other than the direct target of social undermining also experience negative outcomes. This phenomenon, vicarious social undermining, was related to increased job withdrawal, intention to quit, and reduced supervisor satisfaction.","Poster",2039,22,2013
"Self-Reported Organizational Deviance Behaviors: Do Others See Them Coming?","Does reputation matter, and does it relate to self-reported deviance behaviors? Drawing on socioanalytic and ecological theories, this study examined whether observer-rated Big Five factors related to self-reported workplace deviance. Importantly, the researchers extended previous research to show that supervisor- and coworker-rated personality incrementally predicted employees' deviance ratings beyond self-rated personality.","Poster",2040,22,2013
"Incivility and Turnover Intentions: Multiple Mediators and Moderated Relationships","This study aimed to establish the explanatory mechanisms which include burnout, job stress, and job satisfaction that occur simultaneously in order to explain the relationship between incivility and turnover intentions. We also examined ways of preventing and reducing the negative impact of incivility, specifically looking at perceived organizational support.","Poster",2041,22,2013
"Selective Incivility: Immigrant Groups Experience Subtle Discrimination at Different Rates","Research on workplace discrimination against immigrants is scarce despite the fact that immigrants play an important role on labor markets, steadily increasing in number and diversity. This research studies immigrant employees' subtle discrimination experiences in a representative sample finding that mainly new, highly competitive immigrant groups experience subtle interpersonal discrimination.","Poster",2042,22,2013
"Job Analytic Comparisons of Competency Requirements in Global Managerial Jobs","Existing research has examined similarities and differences in global leader behavior. However, these initiatives focus on the individual as their unit of analysis. This research uses jobs as the unit of analysis, analyzing archival job data to examine similarities and differences in competencies required for managerial jobs around the world.","Poster",2043,22,2013
"Beyond Interrater Reliability: Using G-Theory to Examine KSAO-Task Linkage Ratings","The KSAO-task linkage process is critical to content-validated selection instruments. This study uses generalizability analyses to explore measurement conditions that may impact the reliability of KSAO-task linkage ratings. Results suggest that variability in linkage ratings is influenced by specific KSAO-task pairings, individual raters, and the specificity of the KSAO.","Poster",2044,22,2013
"Accuracy of Job Analysis Ratings in Predicting Training Experience Validities","Job analysis data are largely judgments from SMEs used to design selection assessments and training. This research examined job analysis rating accuracy by comparing SME relevance ratings with the validity of training experience across a large number of knowledge areas. Results and implications for future research are discussed.","Poster",2045,22,2013
"Identifying Critical Job Family Competencies: Within and Across Job Families","This study used data-driven best practices to identify the most critical competencies for 4 job families: service and support; professionals, operations, and trades; and technicians and specialists. Although subject matter experts rated 4 competencies as critical across the 3 job families, other competencies were unique to each job family.","Poster",2046,22,2013
"Ethical Leadership Buffers Negative Effects of Group Moral Identity Diversity","This study examined the moderating effect of ethical leadership on the relationship between group members' moral identity diversity and intragroup task conflict and trust. It was found that ethical leadership buffered the negative impact of group diversity in internalized and symbolized moral identity on intragroup task conflict and trust.","Poster",2047,22,2013
"Ethical Leadership Ratings: The Role of Followers' Personality","Drawing on implicit leadership theory and referent effect, this study extends ethical leadership research by examining if follower individual differences in personality are related to leader ratings on the Ethical Leadership Scale (ELS). Results indicate that followers' conscientiousness is significantly and positively associated with leader ratings on ELS. ","Poster",2048,22,2013
"Interactional Fairness, Organizational Embeddedness, and Discretionary Behavior","This study explored whether the affective nature of organizational embeddedness moderated relations of supervisors' interactional fairness with citizenship behavior and production deviance outcomes. Results from full-time employees showed that interactional fairness exerts a stronger effect for organizationally embedded employees than for their less attached coworkers, even after controlling for turnover intent.","Poster",2049,22,2013
"Is Overall Justice a Useful Construct?","Using usefulness analysis (a form of dominance analysis), the dimensions of justice were found to be more useful than overall justice in a student sample (Study 1), but in a professional sample (Study 2), overall justice was more useful than the dimensions for predicting theoretically relevant outcomes. Implications are discussed.","Poster",2050,22,2013
"Automatic Fairness Theory: Integrating Fairness Theory With Automatic Counterfactual Reasoning","Fairness theory is extended, suggesting that automatic counterfactual reasoning influences the propensity to hold social entities accountable for (un)fair treatment. The model suggests that these counterfactual reasoning processes rely on the perception that it is easy to generate counterfactual thoughts rather than the quantity and content of counterfactual thoughts. ","Poster",2051,22,2013
"How the Language We Speak Influences Reactions to Unfair Treatment","Recent findings from the linguistics literature are integrated with the organizational justice literature to predict how one's native language influences perceptual and behavioral reactions to unfair treatment.","Poster",2052,22,2013
"How Supervision, Justice, and Organizational Support May Impact Employee Strains","This study examined the relationships among abusive supervision, justice, perceived organizational support (POS), and employee strains. Abusive supervision and low justice were predicted to negatively affect POS, thus exacerbating employee strains. POS was a significant mediator between abusive supervision and burnout as well as justice and burnout.","Poster",2053,22,2013
"Do It Because I Said So...Please? Justice and Power","Two studies were conducted investigating supervisor interpersonal justice, power, and employee reactions. Interpersonal justice was found to be positively related to referent power and negatively related to coercive power. Referent power was positively related to commitment, and coercive power was related to reactance. Implications for research and practice are discussed.","Poster",2054,22,2013
"Validation of a Measure of External Organizational Justice","This study provides validity evidence for a 3-dimensional measure of external organizational justice: the degree to which employees perceive that their organization behaves fairly, equitably, and ethically when interacting with entities outside of the organization. This construct contributes to our understanding of how corporate social responsibility and individual-level organizational outcomes relate.","Poster",2055,22,2013
"The Role of LGO in Coping With Organizational Injustice","Based on COR theory and trait activation theory, this study examined how organizational justice moderates the relationship between learning goal orientation (LGO) and individual outcomes. The positive effect of LGO on task performance was stronger when the level of justice was low rather than high. ","Poster",2056,22,2013
"Multifoci Justice and Creativity in Work Teams: A Multilevel Framework","This study investigates the influence of organization-focused justice and supervisor-focused justice on creativity through 2 complementary mediators (i.e., psychological empowerment and leader-member exchange). Organization-focused justice and supervisor-focused justice influence creativity in different ways. Moreover, supervisor-focused justice and organization-focused justice have a positive interactive effect on employee creativity.","Poster",2057,22,2013
"Powerlessness, Transparency, Justice, and Interpersonal Conflict During Organizational Change","Organizational change by nature involves ambiguity, which may produce feelings of powerlessness. This paper investigates relationships among powerlessness, interactional justice, transparency, and interpersonal conflict using the cognitive phenomenological model of employee reactions to stress. The presenters also assess the role of power distance as a cultural moderator. ","Poster",2058,22,2013
"A Sticky Topic: Using Personality Tests in Selection Settings","Industry remains hesitant to utilize personality tests in applicant screening due to low criterion validity in predicting job performance. An expert panel is consulted on the use of personality tests in selection settings toward improving criterion validity and offers recommendations promoting the use of personality data in selection.","Panel Discussion",2059,6,2013
"Developing an Employment Value Proposition: Discovering What Matters Most ","This symposium will examine how two different large corporations and two different large HR consulting companies are conducting research on how to define an Employee Value Proposition for an organization.  The primary focus will be on best practices in research methods, statistical techniques, and psychological theories in EVP development.","Symposium/Forum",2060,2,2013
"I-O Psychology's Role in Integrated Talent Management","Integrated Talent Management is the hot topic among practitioners and a common goal among HR professionals. At this session senior leaders of four large organizations will discuss their definitions, their talent needs, the role of I/O psychology, and their successes/lessons learned on their journey toward integrating data and processes.","Panel Discussion",2061,6,2013
"Time to Focus on Context: Work-Life Issues in Educational Settings","Educational settings are of significant importance to many adults, and yet, little is known about the unique work-life challenges experienced by them within these environments. The proposed symposium consists of 4 unique studies, which focus on the interface between work and other life roles in educational settings. ","Symposium/Forum",2062,2,2013
"Organizational Capability: The Role of I-O Practitioners in Strategy Implementation","Although organizations put a high priority on defining business strategies, many fail to put in place the organizational capability that will support the execution of such strategies. This panel of academics and practitioners will share their perspectives on how industrial-organizational professionals can best help organizations build organizational capability.","Panel Discussion",2063,6,2013
"Scientist-Practitioner Divide: Try to Eliminate or Accept as Inevitable?","Concern with the ""divide"" between scientists and practitioners among I-O psychologists is not new. The assembled panel of experts represents a blend of those who embody the scientist-practitioner model in an exemplary way and those who view the model as somewhat unattainable and unrealistic.","Panel Discussion",2064,6,2013
"Marketing YOU: Personal Branding at Work","Companies spend millions annually developing their ""brand"" messages. Likewise, employees may use similar strategies to create a ""name"" for themselves at work. This panel will provide insight into branding by sharing their experiences and providing guidance to individuals who are interested in creating a brand of their own. ","Panel Discussion",2065,6,2013
"Looking Forward to Mars: Researching Teams for Future Exploration Missions","Future space exploration missions will involve teams working together over long periods of isolation, confinement, and danger. There has been little examination of teams in environments similar to those experienced on long duration space exploration missions. The research presented in this symposium addresses issues unique to teams in spaceflight environments.","Symposium/Forum",2066,2,2013
"Novel Approaches to Conducting Research on Workplace Affect ","Scholarship on emotions continues to be a large area of organizational research. This symposium highlights ways that researchers can ""think outside the box"" when investigating workplace emotions, including the use of event-level and continuous ratings, the use of physiological indicators of affect, and sampling from underresearched occupations.  ","Symposium/Forum",2067,2,2013
"Theme Track/IGNITE: Promoting Innovation: Interventions With High-Impact Branding","In this IGNITE session, presenters engage the audience for 5 minutes with 20 automatically-progressing slides to share experiences creating a broadly visible campaign around an I-O or HR intervention, sharing the whats and hows of branding an initiative that is recognizable and meaningful enough to take on its own identity within an organization.","Special Events",2068,1,2013
"Hard Problems: Known Unknowns and Unknown Unknowns in Behavioral Science","In order to make further advances in the behavioral and social sciences, there are a number of significant--and given current knowledge and techniques, seemingly intractable--hard problems that need to be addressed. This symposium will review 3 of these problems and discuss approaches making these hard problems more tractable.","Symposium/Forum",2069,2,2013
"Leading in Asia: Differences Across the Diverse Cultures of Asia","McKinsey predicts that by 2020 40% of the top 250 firms will be headquartered in Asia. How different is leading in Asia? This panel compares research across Asian countries and the USA to understand differences in leadership expectations. The session will provide perspectives from family-owned businesses, government organizations and large Asia-headquartered companies.","Panel Discussion",2070,6,2013
"Learning Agility and Leader Development","Community of Interest","Community of Interest",2071,12,2013
"Employee Lifecycle Research: Understanding and Improving the Journey at Work","This session highlights various ways that organizations are conducting employee lifecycle research. Five studies--each exploring different aspects of lifecycle research--will be presented. These studies focus on developing a deep understanding of the employee experience at work. Scientists and practitioners will present findings from multiple sources.  ","Symposium/Forum",2072,2,2013
"Humanitarian Work Psychology's Role in the Future of I-O Psychology","Humanitarian work psychology (HWP) calls for utilizing our talents as I-O psychologists to positively impact human welfare at work and through work. In this session, the presenters discuss what HWP is and can be, HWP's role in the future of I-O, and likely challenges on the horizon.","Panel Discussion",2073,6,2013
"Newcomer Health and Well-Being","Although much is known about the antecedents of newcomer job performance, research on the antecedents of newcomer health and well-being is limited. Highlighting insights gleaned from 3 longitudinal investigations, this symposium aims to generate and test models predicting the status and change process in newcomer health and well-being. ","Symposium/Forum",2074,2,2013
"Formal Mentoring Program Design: Lessons Learned From Diverse Organizations","Speakers from a local I-O professional association, a consulting firm, a large corporation, and the U.S. Navy will describe their formal mentoring programs, focusing on how they handle typical design challenges. Sharing lessons learned across diverse contexts will illuminate common best practices and highlight successful approaches to handling unique situations.","Symposium/Forum",2075,2,2013
"Legal Update: Recent Cases, Trends and Implications for I-O Practice","Organizations that use talent selection procedures must be cognizant of fair employment laws and associated risks. This session will provide an opportunity to discuss recent court cases and legal trends that highlight key issues in justifying selection procedure use, along with corresponding measurement considerations and implications for practice. ","Roundtable Discussion/Conversation Hour",2076,7,2013
"Motivational Theories of Innovative Performance: Should One Reward and Expect?","This study points out 3 competing hypotheses about the effects of rewards and expectations on motivating innovative performance: the intrinsic motivation principle of creativity (Amabile, 1990), the reward for creativity hypothesis (Eisenberger & Cameron, 1996), and the creative self-efficacy hypothesis (Tierney & Farmer, 2002). The study also identifies how to potentially falsify them.","Poster",2077,22,2013
"Leading Exploratory Innovation: The Roles of Learning Orientation and Formalization","This study extends our understanding of team exploratory innovation. Transformational leadership enhances team exploratory innovation through engendering a team learning goal orientation. Furthermore, a moderating effect of team formalization was found: High formalization can support the translation of learning goal orientation into exploration.","Poster",2078,22,2013
"Understanding Gender Stereotyping as an Impediment to Women's Leadership Advancement","Women's participation in organizational management and leadership continues to lag behind men's participation. Incorporating the latest research, a model is developed to demonstrate the influence of gender stereotyping on 2 phenomena detrimental to women's leadership advancement, backlash and stereotype threat.  Recommendations for future research on these topics are highlighted.","Poster",2079,22,2013
"Evaluation, Criticism, and Creativity: Criticism Content and Creative Problem Solving","How people go about evaluating creative ideas may influence their performance on creative problem-solving tasks. It was found that idea evaluation was related to subsequent creative problem-solving performance. The details and implications of these findings for improving performance on tasks calling for creative thinking are discussed.","Poster",2080,22,2013
"Psychological Disorders in the Workplace: An Identity Management Theory Application","This study examines the identity management strategies used by individuals possessing psychological disorders in the workplace. Strategy use shows connections to affect toward the psychological disorder (i.e., gains). Personality traits and stereotype content were also observed to affect strategy use. Implications of these findings for stigmatized workers are discussed.","Poster",2081,22,2013
"How Gender-Role Theory Illuminates Influence Tactics' Use and Effectiveness ","Using gender-role theory, this study meta-analytically examined the gendered nature of lateral and upward influence attempts, investigating the extent to which the gender of the influence agent impacts choices and effectiveness of influence behaviors. The results provided limited support for the theory. ","Poster",2082,22,2013
"Effects of Experienced Discrimination and Organizational Trust on Well-Being","A conditional process model is proposed in which experienced discrimination leads to emotional exhaustion indirectly through organizational trust. As predicted, in two samples organizational trust fully mediated the relationship between experienced discrimination and emotional exhaustion. However, this psychological process applies primarily among workers high in Conscientiousness.","Poster",2083,22,2013
"Evaluating the Impact of Interventions Designed to Change Social Attitudes","The malleability of racial attitudes of students in courses with objectives that involve understanding and valuing diversity were assessed using both implicit and explicit measures. Support was found for the malleability of bias assessed by explicit measures but no support for the malleability of automatic bias assessed by implicit measures.","Poster",2084,22,2013
"Do Female Leaders Make Subordinates More Helpful? ","This study investigates the relationship between a leader's gender and helping behavior of employees. Using data from 283 employees from Taiwan, the results show that leaders' emotional intelligence promoted the relation between transformational leadership and helping behavior, and the moderating effects were stronger for female leaders than for male leaders. ","Poster",2085,22,2013
"Humor Resource Management?  Gender, Humor, and Workplace Perceptions","This study examined male and female reactions to gender disparaging jokes told in a work-related social setting. Conditions varied by joke teller and target gender; reactions were measured using perceptions liking, respect, and anticipated interactional justice. Generally, a preference was found for male disparaging humor and negative reactions to female disparaging humor.","Poster",2086,22,2013
"Gender Differences in Employee Green Behaviors: Cross-Cultural Variation Across Twenty-Two Countries","Primary research was conducted to examine gender differences in employee green behaviors across 76 independent samples (N = 38,487) in 22 countries (1-6 samples/country, median = 3.5). Although on average differences were small, there was substantial cross-country variability. Potential country level moderators (e.g., economic variables, culture) were examined.","Poster",2087,22,2013
"Age Attributions in Virtual Work: Soft Bigotry of Low Expectations?","This study used vignettes to examine the effects of age on attributions of performance in virtual work. Contrary to expectations, punishment was supported less for older workers. Older workers were also reported as more trustworthy than younger workers. Paternalistic stereotypes are identified as a potential cause for these unexpected findings.","Poster",2088,22,2013
"Positive Perceptions of Gay Male and Lesbian Leaders","Identifying as a gay or lesbian in this society may develop specific traits that are particularly conductive to leadership.  This study found that gay and lesbian leaders were rated more favorably than heterosexual leaders on certain leadership traits, suggesting that people hold some positive perceptions of sexual minority leaders.","Poster",2089,22,2013
"Are You Man Enough? Evaluations of Gendered Information in Academia","This study expands identity management theory and the role of job ""fit"" by examining the effect of gender distancing or affirming information on evaluations in gendered contexts. Using an experimental design, it was found that gender and context interacted to predict evaluations.","Poster",2090,22,2013
"Diversity Climate and Employee Attitudes: The Mediating Role of Prejudice","The study focuses on whether racioethnic prejudice mediates the influence of diversity climate on employee attitudes. By demonstrating the mediating effect of racioethnic prejudice in the relationship between diversity climate and coworker satisfaction, the findings shed light on the influence of diversity climate and suggest a potential leverage for intervention.","Poster",2091,22,2013
"Waiting for Superwoman: Gendered Double Standards in the OCB-Selection Relationship","This study examines how applicant gender influences the OCB-selection relationship. Employing competing hypotheses, it evaluates whether prescriptive in-role OCB or more comprehensive OCB displays are more beneficial for candidates. Results suggest all candidates benefit from all-encompassing OCB displays, but women may be impacted especially positively by signaling out-of-role competence.","Poster",2092,22,2013
"Sexual Harassment, Incivility, and Academia","Research has not fully examined how specific types of mistreatment impact outcomes for individuals. This study examined job and well-being outcomes of incivility and sexual harassment for faculty in STEM/non-STEM fields. Results indicated gender differences in mistreatment experiences and that incivility was a significant predictor of outcomes. Implications discussed.","Poster",2093,22,2013
"Why Were You Fired? Gender, Race, and Evaluations of Explanations","How an individual presents negative information in a hiring context (being fired from a previous job) and whether the acceptability of an explanation (excuse or justification) differs depending on race and gender was examined. White men and Black women were rated lower in likeability regardless of explanation type.  
","Poster",2094,22,2013
"Examining the Nationality Diversity-Team Performance Relationship ","This sstudy analyzed the effect of nationality diversity on team coordination and performance. Findings show that, although nationality diversity was not related to team coordination, team experience (but not international experience) was an important boundary condition, and coordination mediated the interactive effect of nationality diversity and team experience on performance.","Poster",2095,22,2013
"Identity Integration, Perceived Respect, and Male Nurses' Job Attitudes","This study examined the impact of Gender-Professional Identity Integration (GPII) on several work attitudes (job satisfaction, organizational commitment) for men in nursing. Also, the researchers hypothesized that loss of respect would partially explain the relationship between GPII and work attitudes. Results were consistent with this hypothesis.","Poster",2096,22,2013
"The Case for Diversity Management","This study investigated the effectiveness of mentoring and diversity training on four workplace outcomes. Using data from the DEOMI Diversity Management Climate Survey, the researchers found that although mentoring and diversity training predicted all four outcome variables, justice and inclusion were more effective in facilitating positive workplace outcomes.","Poster",2097,22,2013
"More Flies With Honey: Negotiation Gender Composition and Small Talk","The gender pay gap phenomenon has sparked recent interest. In this experiment, 136 working adults were randomly assigned to evaluate job candidates negotiating for additional benefits in their job package. Results indicate that the gender dyad composition, over negotiator gender alone, influences the effectiveness of small talk in yielding outcomes.","Poster",2098,22,2013
"Ageism Climate, Chronological Age, and Employability Perceptions Among Nurses","This study examined the interplay between chronological age and psychological ageism climate on 2 dimensions of employability--desire to move and ease of movement--in a sample of nurses. Ageism climate had a main effect on desire of movement and age moderated the relationship between ageism climate and ease of movement.","Poster",2099,22,2013
"Reemployment After Job Loss: Does Age Matter?","This study explores the relationship between age and reemployment experience by quantitatively and qualitatively reviewing over 200 studies. A small negative relationship between age and reemployment speed was found, which strengthens at older ages. Among the reemployed, a small negative relationship between age and reemployment job satisfaction was found.","Poster",2100,22,2013
"Social Job Characteristics and Age Interact to Affect Well-Being Outcomes","Based in socioemotional selectivity theory, this study examined whether age moderated the relationship between social job characteristics and well-being in a sample of public sector employees. Age moderated many of these relationships, suggesting that certain job characteristics may be differentially beneficial for people at different life stages.","Poster",2101,22,2013
"Weighing in on Weight Discrimination Against Females of Different Races","Overweight female job applicants received lower hiring and salary recommendations than normal weight women. There were no significant race differences in hiring and salary recommendations across African-American, Hispanic, and White female job applicants. Implicit and explicit measures of bias were positively correlated but only explicit bias predicted hiring recommendations.","Poster",2102,22,2013
"The Effects of Strategic HRM and Workforce Characteristics on Turnover","Using a longitudinal field sample of organizations, we examine contingencies in strategic HR management and find that characteristics of the internal workforce differentially affect the impact of SHRM practices on two critical organizational outcomes: quit rates and dismissal rates.","Poster",2103,22,2013
"The Diversity-Validity Dilemma in Selection: The Role of Response Fidelity","This study addresses the diversity-validity dilemma in personnel selection by demonstrating that increasing response fidelity may lead to smaller ethnic performance differences without impairing criterion-related validity. In addition, the study tests the role of cognitive and personality loading as conceptual explanations for discrepancies in ethnic performance differences.","Poster",2104,22,2013
"A Preliminary Investigation of Discriminatory Hiring Attitudes Toward Tattooed People","This study examined the effects of applicant tattoos on the hiring attitudes of managers who select employees. The results suggest that applicants with extensive tattoos were viewed less favorably than others, and the effect is not limited only to positions where employees deal with customers in person.","Poster",2105,22,2013
"Biases in the Context of Hiring Through LinkedIn","Attractiveness and information biases in employment decisions via LinkedIn were studied. This between subjects experiment was conducted with a 3 (more attractive vs. less attractive vs. no picture) x 2 (more information vs. less information) ANOVA design. Results did not support hypotheses. Exploratory analyses on demographics showed interesting trends. ","Poster",2106,22,2013
"Marked for Failure: Visual Stigma in Video Resumes and Interviews","Discrimination of controlled (tattoo) and uncontrolled (disfigurement) visual stigmata in video resumes and interviews was investigated. Study 1 (N = 115) indicated a negative bias towards tattooed applicants' hiring chances from a video resume database.  Study 2 (N = 120) showed that interviewer Openness to Experience moderated interview scores of tattooed candidates. ","Poster",2107,22,2013
"Could Sackett and Roth Have Saved New Haven?","Proponents assert that using bands of scores reduces adverse impact while preserving the validity of selection procedures. Could New Haven have avoided legal tribulations and millions in damages resulting from the landmark Ricci v. DeStefano decision by banding? Results indicated some banding protocols resulted in no adverse impact.","Poster",2108,22,2013
"Predicting Voluntary Turnover and Job Performance From Biodata","This study investigated the ability of biodata items to predict voluntary turnover and performance. Results showed individuals recruited by employee referrals and individuals who had previously applied for a position with the organization had less voluntary turnover and better performance than individuals recruited by other methods and first-time applicants.
","Poster",2109,22,2013
"Accuracy of Confidence Intervals With an Adjustment on Adverse Impact","Using confidence intervals to examine adverse impact may solve issues with analysis, but they are not accurate with low sample size.  Monte Carlo simulation revealed that adding a 0.5 adjustment to the procedure increases accuracy over the unadjusted procedure and the Agresti and Caffo (2000) procedure.  ","Poster",2110,22,2013
"Is Retest Bias Biased? An Examination of Subgroup Differences","This study examines the potential for score gains to differ due to retesting depending on individuals' protected class (race and sex) and ability level. Subjects were administered multiple forms of the Wonderlic Personnel Test (WPT) with a 6-week lag to determine the extent to which retesting favors certain individuals.","Poster",2111,22,2013
"Workplace Discrimination Based on Chronic Illness: Experiences and Responses","This study examined experiences of and responses to discrimination in a sample of 223 female workers with various chronic illnesses. 53% reported experiencing at least 1 form of work-related discrimination due to their chronic illness. Discrimination was positively related to job-induced tension, along with compensatory and withdrawal behaviors. ","Poster",2112,22,2013
"Race Discrimination in Employment and its Outcomes: A Meta-Analysis","A meta-analysis was conducted on the relationship between perceived racial discrimination at work and important outcomes. Perceived racial discrimination was negatively related to job attitudes, physical health, psychological health, and work outcomes, and positively related to taking action in response. ","Poster",2113,22,2013
"Predicting the Decision to Report Sexual Harassment","This conceptual paper presents a model of the decision to report workplace sexual harassment. The model integrates the theory of planned behavior (Ajzen, 1991) with the sexual harassment and reporting literatures, and identifies the organizational influences on reporting as being climate of tolerance of sexual harassment and organizational justice.","Poster",2114,22,2013
